36912:	Choreography Sub-Process
36889:	Multiple Participants Marker
36870:	Choreography Task
36869:	Choreography
36868:	Forked Conversation Link
36866:	Conversation Link
36864:	Communication
36862:	Conversations
36854:	Swimlanes
36853:	Message Flow
36851:	Conditional Flow
36850:	Sequential Flow
36849:	Default Flow
36820:	Script
36791:	Service
36769:	Compensation
36765:	Business Rule
36764:	Manual
36763:	User
36762:	Receive
36761:	Send
36760:	Adhoc
36759:	Sequential MI Marker
36758:	Parallel MI Marker
36757:	Loop
36756:	Sub-Process
831:	Call Activity
830:	Event-@nl Sub-Process
829:	Transaction
828:	Task
827:	Activities
762:	Gateways
10:		Data Store
744:	Data
672:	Terminate
637:	Parallel Multiple
616:	Parallel
615:	Compensation
547:	Signal
526:	Cancel
490:	Error
486:	Link
371:	Conditional
308:	Escalation
135:	Timer
9:		Message
5:		None
4:		Events
